"Survey"	"Stratum"	"Layer"	"SpeciesCategory"	"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"IndividualTotalLength"	"LengthResolution"	"IndividualRoundWeight"	"Beam"	"Frequency"	"Abundance"	"Biomass"	"MinLayerDepth"	"MaxLayerDepth"	"Cruise"	"Platform"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"	"Individual"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"
"Survey"	"45G9"	"WaterColumn"	"126417"	"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"1"	7	0.5	2.16	"I1"	38000	1834267.59192451	3962017.99855693	10	189.2	"BIAS_2018_SWE"	"26D4"	"BIAS_2018_SWE-55"	"26D4"	2018-10-10T00:00:00Z	58.3075	19.1657	61	"BIAS_2018_SWE-55-27"	"PEL"	1.289956803456	1.289956803456	30	NA	15.3	NA	68	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51	"BIAS_2018_SWE-55-27-126417-1-1"	"IndividualWeight"	0	"U"
"Survey"	"45G9"	"WaterColumn"	"126417"	"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"2"	8	0.5	3.52	"I1"	38000	23075127.0240149	81224447.1245325	10	189.2	"BIAS_2018_SWE"	"26D4"	"BIAS_2018_SWE-55"	"26D4"	2018-10-10T00:00:00Z	58.3075	19.1657	61	"BIAS_2018_SWE-55-27"	"PEL"	1.289956803456	1.289956803456	30	NA	15.3	NA	68	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51	"BIAS_2018_SWE-55-27-126417-1-2"	"IndividualWeight"	0	"U"
"Survey"	"45G9"	"WaterColumn"	"126417"	"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"3"	8	0.5	3.36	"I1"	38000	23075127.0240149	77532426.8006901	10	189.2	"BIAS_2018_SWE"	"26D4"	"BIAS_2018_SWE-55"	"26D4"	2018-10-10T00:00:00Z	58.3075	19.1657	61	"BIAS_2018_SWE-55-27"	"PEL"	1.289956803456	1.289956803456	30	NA	15.3	NA	68	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51	"BIAS_2018_SWE-55-27-126417-1-3"	"IndividualWeight"	0	"U"
"Survey"	"45G9"	"WaterColumn"	"126417"	"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"4"	8	0.5	3.27	"I1"	38000	23075127.0240149	75455665.3685288	10	189.2	"BIAS_2018_SWE"	"26D4"	"BIAS_2018_SWE-55"	"26D4"	2018-10-10T00:00:00Z	58.3075	19.1657	61	"BIAS_2018_SWE-55-27"	"PEL"	1.289956803456	1.289956803456	30	NA	15.3	NA	68	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51	"BIAS_2018_SWE-55-27-126417-1-4"	"IndividualWeight"	0	"U"
"Survey"	"45G9"	"WaterColumn"	"126417"	"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"5"	8	0.5	3.39	"I1"	38000	23075127.0240149	78224680.6114105	10	189.2	"BIAS_2018_SWE"	"26D4"	"BIAS_2018_SWE-55"	"26D4"	2018-10-10T00:00:00Z	58.3075	19.1657	61	"BIAS_2018_SWE-55-27"	"PEL"	1.289956803456	1.289956803456	30	NA	15.3	NA	68	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51	"BIAS_2018_SWE-55-27-126417-1-5"	"IndividualWeight"	0	"U"
"Survey"	"45G9"	"WaterColumn"	"126417"	"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"6"	8.5	0.5	3.78	"I1"	38000	28267337.1074127	106850534.26602	10	189.2	"BIAS_2018_SWE"	"26D4"	"BIAS_2018_SWE-55"	"26D4"	2018-10-10T00:00:00Z	58.3075	19.1657	61	"BIAS_2018_SWE-55-27"	"PEL"	1.289956803456	1.289956803456	30	NA	15.3	NA	68	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51	"BIAS_2018_SWE-55-27-126417-1-6"	"IndividualWeight"	0	"U"
"Survey"	"45G9"	"WaterColumn"	"126417"	"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"7"	8.5	0.5	3.78	"I1"	38000	28267337.1074127	106850534.26602	10	189.2	"BIAS_2018_SWE"	"26D4"	"BIAS_2018_SWE-55"	"26D4"	2018-10-10T00:00:00Z	58.3075	19.1657	61	"BIAS_2018_SWE-55-27"	"PEL"	1.289956803456	1.289956803456	30	NA	15.3	NA	68	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51	"BIAS_2018_SWE-55-27-126417-1-7"	"IndividualWeight"	0	"U"
"Survey"	"45G9"	"WaterColumn"	"126417"	"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"8"	8.5	0.5	3.79	"I1"	38000	28267337.1074127	107133207.637094	10	189.2	"BIAS_2018_SWE"	"26D4"	"BIAS_2018_SWE-55"	"26D4"	2018-10-10T00:00:00Z	58.3075	19.1657	61	"BIAS_2018_SWE-55-27"	"PEL"	1.289956803456	1.289956803456	30	NA	15.3	NA	68	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51	"BIAS_2018_SWE-55-27-126417-1-8"	"IndividualWeight"	0	"U"
"Survey"	"45G9"	"WaterColumn"	"126417"	"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"9"	8.5	0.5	3.59	"I1"	38000	28267337.1074127	101479740.215612	10	189.2	"BIAS_2018_SWE"	"26D4"	"BIAS_2018_SWE-55"	"26D4"	2018-10-10T00:00:00Z	58.3075	19.1657	61	"BIAS_2018_SWE-55-27"	"PEL"	1.289956803456	1.289956803456	30	NA	15.3	NA	68	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51	"BIAS_2018_SWE-55-27-126417-1-9"	"IndividualWeight"	0	"U"
"Survey"	"45G9"	"WaterColumn"	"126417"	"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"10"	8.5	0.5	4.02	"I1"	38000	28267337.1074127	113634695.171799	10	189.2	"BIAS_2018_SWE"	"26D4"	"BIAS_2018_SWE-55"	"26D4"	2018-10-10T00:00:00Z	58.3075	19.1657	61	"BIAS_2018_SWE-55-27"	"PEL"	1.289956803456	1.289956803456	30	NA	15.3	NA	68	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51	"BIAS_2018_SWE-55-27-126417-1-10"	"IndividualWeight"	0	"U"
