"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"Individual"	"IndividualRoundWeight"	"IndividualTotalLength"	"LengthResolution"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"	"StockCode"	"IndividualMaturity"	"MaturityScale"
"BIAS2019"	"1"	"1"	"126425"	"1"	"1"	"BIAS2019-1-1-126425-1-1"	3.5	8	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"2"	"BIAS2019-1-1-126425-1-2"	3.8	8	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"3"	"BIAS2019-1-1-126425-1-3"	3.4	8	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"4"	"BIAS2019-1-1-126425-1-4"	3.5	8	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"5"	"BIAS2019-1-1-126425-1-5"	2.4	7	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"6"	"BIAS2019-1-1-126425-1-6"	2.3	7	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"7"	"BIAS2019-1-1-126425-1-7"	2.3	7	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"8"	"BIAS2019-1-1-126425-1-8"	2.3	7	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"9"	"BIAS2019-1-1-126425-1-9"	2.7	7.5	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"10"	"BIAS2019-1-1-126425-1-10"	2.2	7	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"11"	"BIAS2019-1-1-126425-1-11"	2.5	7.5	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"12"	"BIAS2019-1-1-126425-1-12"	2.4	7.5	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"13"	"BIAS2019-1-1-126425-1-13"	2.7	7.5	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"14"	"BIAS2019-1-1-126425-1-14"	2.4	7	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"15"	"BIAS2019-1-1-126425-1-15"	2	7	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"16"	"BIAS2019-1-1-126425-1-16"	2	6.5	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"17"	"BIAS2019-1-1-126425-1-17"	2.3	7	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"18"	"BIAS2019-1-1-126425-1-18"	2.2	7	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"19"	"BIAS2019-1-1-126425-1-19"	2.2	6.5	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"20"	"BIAS2019-1-1-126425-1-20"	2.1	6.5	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"21"	"BIAS2019-1-1-126425-1-21"	2.4	7	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"22"	"BIAS2019-1-1-126425-1-22"	2.4	6.5	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"23"	"BIAS2019-1-1-126425-1-23"	2.3	6.5	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"24"	"BIAS2019-1-1-126425-1-24"	2.2	6.5	0.5	"IndividualWeight"	0	NA	NA	NA	"M6"
"BIAS2019"	"1"	"1"	"126425"	"1"	"25"	"BIAS2019-1-1-126425-1-25"	2.230434782609	6.5	0.5	"AverageWeight"	NA	NA	NA	NA	NA
"BIAS2019"	"1"	"1"	"126425"	"1"	"26"	"BIAS2019-1-1-126425-1-26"	2.230434782609	6.5	0.5	"AverageWeight"	NA	NA	NA	NA	NA
"BIAS2019"	"1"	"1"	"126425"	"1"	"27"	"BIAS2019-1-1-126425-1-27"	2.230434782609	6.5	0.5	"AverageWeight"	NA	NA	NA	NA	NA
"BIAS2019"	"1"	"1"	"126425"	"1"	"28"	"BIAS2019-1-1-126425-1-28"	2.230434782609	6.5	0.5	"AverageWeight"	NA	NA	NA	NA	NA
"BIAS2019"	"1"	"1"	"126425"	"1"	"29"	"BIAS2019-1-1-126425-1-29"	2.230434782609	6.5	0.5	"AverageWeight"	NA	NA	NA	NA	NA
"BIAS2019"	"1"	"1"	"126425"	"1"	"30"	"BIAS2019-1-1-126425-1-30"	2.230434782609	6.5	0.5	"AverageWeight"	NA	NA	NA	NA	NA
"BIAS2019"	"1"	"1"	"126425"	"1"	"31"	"BIAS2019-1-1-126425-1-31"	2.230434782609	6.5	0.5	"AverageWeight"	NA	NA	NA	NA	NA
"BIAS2019"	"1"	"1"	"126425"	"1"	"32"	"BIAS2019-1-1-126425-1-32"	2.230434782609	6.5	0.5	"AverageWeight"	NA	NA	NA	NA	NA
"BIAS2019"	"1"	"1"	"126425"	"1"	"33"	"BIAS2019-1-1-126425-1-33"	2.230434782609	6.5	0.5	"AverageWeight"	NA	NA	NA	NA	NA
"BIAS2019"	"1"	"1"	"126425"	"1"	"34"	"BIAS2019-1-1-126425-1-34"	2.230434782609	6.5	0.5	"AverageWeight"	NA	NA	NA	NA	NA
"BIAS2019"	"1"	"1"	"126425"	"1"	"35"	"BIAS2019-1-1-126425-1-35"	2.230434782609	6.5	0.5	"AverageWeight"	NA	NA	NA	NA	NA
